epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,778.581,1.21069,1.01816,1.23194,0.61165,0.68725,0.68033,0.36231,1.60451,1.3219,1.51318,0.000208,0.000208,0.000208
82,788.855,1.24214,1.02867,1.23807,0.57357,0.66206,0.67265,0.3502,1.6403,1.36651,1.51986,0.0001981,0.0001981,0.0001981
83,797.846,1.23653,1.04592,1.25224,0.6425,0.64209,0.68882,0.36743,1.59826,1.30356,1.5151,0.0001882,0.0001882,0.0001882
84,807.145,1.22791,1.03899,1.23556,0.62763,0.64296,0.67014,0.35099,1.67278,1.3567,1.55382,0.0001783,0.0001783,0.0001783
85,817.069,1.21463,1.01331,1.23293,0.63029,0.67561,0.68363,0.3594,1.64255,1.32498,1.51445,0.0001684,0.0001684,0.0001684
86,827.99,1.21495,1.02991,1.23664,0.58346,0.68219,0.67735,0.35324,1.62895,1.32537,1.51677,0.0001585,0.0001585,0.0001585
87,838.138,1.21376,1.00886,1.22234,0.60482,0.67386,0.67765,0.35129,1.65332,1.32511,1.51876,0.0001486,0.0001486,0.0001486
88,848.541,1.22512,1.02399,1.23401,0.59294,0.70128,0.68918,0.36012,1.63723,1.3131,1.52182,0.0001387,0.0001387,0.0001387
89,859.005,1.22126,1.02334,1.22502,0.56576,0.70129,0.67267,0.35417,1.64748,1.31757,1.53462,0.0001288,0.0001288,0.0001288
90,868.525,1.20159,0.9983,1.22301,0.61535,0.694,0.7006,0.37053,1.61215,1.29089,1.4999,0.0001189,0.0001189,0.0001189
91,910.907,1.18814,1.0051,1.24049,0.62892,0.70116,0.71218,0.38205,1.55636,1.2754,1.48606,0.000109,0.000109,0.000109
92,919.562,1.16818,0.95476,1.22626,0.62016,0.67403,0.70212,0.37488,1.59014,1.28363,1.50784,9.91e-05,9.91e-05,9.91e-05
93,928.279,1.1476,0.94037,1.21461,0.67938,0.66886,0.71882,0.38925,1.55982,1.24348,1.50117,8.92e-05,8.92e-05,8.92e-05
94,936.949,1.14486,0.92755,1.21648,0.66473,0.65811,0.70779,0.37514,1.59416,1.27554,1.51326,7.93e-05,7.93e-05,7.93e-05
95,945.839,1.15745,0.92931,1.22036,0.63886,0.67207,0.70181,0.37587,1.58308,1.26895,1.50427,6.94e-05,6.94e-05,6.94e-05
96,954.552,1.14637,0.93014,1.21213,0.61437,0.67694,0.69679,0.37438,1.59901,1.25908,1.507,5.95e-05,5.95e-05,5.95e-05
97,963.411,1.1391,0.92456,1.21103,0.62265,0.68974,0.7038,0.37449,1.58963,1.25793,1.49907,4.96e-05,4.96e-05,4.96e-05
98,973.361,1.14245,0.92857,1.21554,0.63086,0.68737,0.70719,0.37797,1.58577,1.2505,1.49451,3.97e-05,3.97e-05,3.97e-05
99,983.237,1.13762,0.91008,1.20979,0.64044,0.66394,0.70288,0.37249,1.59991,1.25113,1.50023,2.98e-05,2.98e-05,2.98e-05
100,993.214,1.12002,0.90139,1.20076,0.63776,0.67824,0.71152,0.37924,1.60015,1.25593,1.50206,1.99e-05,1.99e-05,1.99e-05
